"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPCC1753.03c",117.742871837683,1.84922350528362,0.198360331725025,9.32254694878759,1.13580454895756e-20,4.5585849632573e-19
"SPNCRNA.69",66.7553598384919,1.49080693227735,0.252915858431592,5.89447787703901,3.75867948159835e-09,4.29572363533426e-08
"SPNCRNA.131",28.1397258297222,1.31745511708365,0.378537505869577,3.48038198766379,0.000500699350696775,0.00207046767866915
"SPCC1753.04",229.314112350955,-1.0680312542191,0.140102166184026,-7.6232315552939,2.47402497408573e-14,5.22609052575447e-13
"SPNCRNA.1204",80.3575339984544,0.252909549126559,0.223907796938321,1.12952542334302,0.258676250991641,0.393259371772719
"SPCC1753.05",225.811252307338,-0.0327871900676513,0.137408263516075,-0.238611486883506,0.811406857141952,0.8734977889365
"SPCC162.12",165.069577027423,-0.0770311599235055,0.160581590842793,-0.4797010636102,0.631439971501356,0.74492476231425
"SPCC162.10",136.699066587661,0.522372640709979,0.183305511805676,2.84973777146293,0.00437552872813364,0.0138250747298988
"SPNCRNA.1205",57.3597672298452,1.00100631098824,0.277855395313318,3.60261606530789,0.000315030661741587,0.00137345316617434
"SPNCRNA.495",48.5595329338844,1.08794953909797,0.300033315466576,3.626095780084,0.000287738665229679,0.00126906329208927
"SPCC162.09c",568.56312301153,-0.403168147582067,0.106794402140305,-3.77518052914786,0.000159891824311776,0.000751855215216572
"SPCC162.08c",482.807172955642,0.441439797188052,0.103139408376385,4.2800303408481,1.86867836329209e-05,0.000110485203403309
"SPNCRNA.1206",421.624049131023,0.494253315992602,0.109060173958827,4.53193221733897,5.84466056189328e-06,3.83443452055748e-05
"SPCC162.06c",120.907985304639,0.428279442192329,0.184138569966816,2.32585406886514,0.0200263370550728,0.050740165682645
"SPCC162.05",156.974013410998,-0.359798202021128,0.162063584611558,-2.2201051697302,0.0264116293660525,0.0636997338863825
"SPCC162.04c",31.6801435148511,2.0003934771938,0.390904744420304,5.11734253867985,3.09870563408801e-07,2.56895122009508e-06
"SPCC162.03",67.1394791574817,-0.648602063206795,0.245534313889488,-2.64159437812314,0.00825168135308985,0.0240090498388623
"SPCC162.02c",167.178724116689,-0.253142359200223,0.160787837037615,-1.57438749014953,0.115397894156534,0.212054896803133
"SPNCRNA.1207",3.82750532094294,-0.165869823856919,1.00996774766412,-0.164232792819916,0.869547886649133,0.914164134145922
"SPCC162.01c",17.3503700794237,-0.121092208909888,0.48749604430644,-0.248396290234859,0.803827803621664,0.869040897498117
"SPNCRNA.582",16.847255766084,-0.104829011156234,0.492596501675413,-0.212809085731812,0.831475876680296,0.888792089392082
"SPCC13B11.01",1225.54864472567,-0.983384479582583,0.0798486216638934,-12.3156099515649,7.46486480564816e-35,9.26050410344316e-33
"SPCC13B11.02c",1227.31800074154,-0.984454540919261,0.0801297491883162,-12.2857559257505,1.08030465229908e-34,1.2931436215152e-32
"SPNCRNA.1209",9.37811184287407,-0.917379731335284,0.663130024846956,-1.38340852768204,0.16653963723668,0.2809841604515
"SPCC13B11.03c",26.4251950305839,0.0164520116319824,0.384806875553915,0.0427539440616811,0.965897677707081,0.978907201271712
"SPCC13B11.04c",110.599254394431,0.23143317284846,0.192533676190941,1.20203996218792,0.229348045495616,0.359981990894085
"SPCC777.02",233.909213772643,-0.0983211217354697,0.141413078842066,-0.695276013651305,0.48688234325584,0.621864138531374
"SPCC777.03c",134.4638578104,0.637379222583263,0.184212658366966,3.46001859065273,0.000540138095484982,0.00221343076606248
"SPNCRNA.1210",84.7711132582667,1.4857531041341,0.238072360099188,6.24076269716942,4.35442427685604e-10,5.43148753948607e-09
"SPCC777.04",49.5699391553428,-0.596549524832088,0.292599240744701,-2.03879382364013,0.0414706090038907,0.0919876349913999
"SPCC777.06c",217.388009174716,-0.246628924428979,0.138872695239266,-1.77593531978376,0.075743578585483,0.151331899469619
"SPNCRNA.1211",211.444689879068,-0.271847626543389,0.141075074813945,-1.92697134417197,0.0539832012315702,0.113821811496602
"SPCC777.07",236.447296964057,0.262559085769878,0.134409526078368,1.95342617023136,0.0507691177334126,0.108622668640663
"SPCC777.08c",136.007345256237,-0.0837199761352545,0.170682028561463,-0.490502584489186,0.623778301418409,0.738575189115169
"SPCC777.09c",587.934300282883,-0.708756294255654,0.0936001422560749,-7.57217112252471,3.67037528275976e-14,7.65840078112228e-13
"SPCC777.10c",44.7632453898423,-0.822737574778221,0.310124498280799,-2.65292674180574,0.00797971876502192,0.0232773070259703
"SPCC777.11",175.909296450077,-0.423936528065329,0.15886957889235,-2.66845629617101,0.00762006914663003,0.0223428155511202
"SPCC777.12c",172.855578082777,-0.457648704452841,0.161078543895149,-2.84115247994009,0.00449508141756714,0.0141205987624588
"SPCC777.17c",60.3237505012868,0.271516334038675,0.258880691361339,1.04880874896807,0.294266149971587,0.433177549354076
"SPCC777.14",105.25588901228,0.216553798488427,0.20957463429496,1.03330156923306,0.301462793135975,0.440917607195446
"SPNCRNA.1212",151.555595434682,0.203828484565132,0.168528325892572,1.20946127890134,0.226485678494165,0.356391094180279
"SPCC777.15",83.9843062447207,0.53327839413575,0.247042336352956,2.1586518408482,0.0308771876466246,0.0723223657098935
"SPCC663.01c",1345.00026058398,0.174458455446294,0.0714509406903619,2.44165372436905,0.0146201624139889,0.0389661594338461
"SPCC663.02",191.168263773103,0.58538891782672,0.181301772725381,3.22880967475929,0.00124306593182046,0.00456482177223414
"SPCC663.17",45.4326969203367,1.43283351203757,0.319177325059408,4.48914568655802,7.15093806702606e-06,4.58130050998299e-05
"SPCC663.04",202.731418305801,-0.530794280390204,0.148445926634349,-3.57567427025232,0.000349326380533765,0.00150091555061831
"SPCC663.18",279.896593066475,0.257396212270793,0.125031118320456,2.05865720253004,0.0395270887869194,0.0884530425690886
"SPCC663.05c",150.483081995634,-0.24158317634474,0.171285962450202,-1.41040849401174,0.158419098750673,0.270336497755662
"SPCC663.06c",76.3185377062714,1.56280590230091,0.240442608355625,6.4997044949265,8.04779368010057e-11,1.11154041051268e-09
"SPCC663.07c",47.6553087709417,0.606095765698658,0.298076630743247,2.03335553071495,0.04201661664383,0.0928365852852501
"SPNCRNA.1213",113.18687860838,0.47712931467852,0.196571812235424,2.4272519505853,0.0152136863662819,0.0402493144928816
"SPCC663.08c",72.4194434012468,0.424050882963453,0.253731107613718,1.67126091456248,0.0946701530155232,0.180832713892753
"SPCC663.09c",178.097209639012,-0.464071811345444,0.157014995926459,-2.95558910540495,0.00312072537878144,0.0103112393508115
"SPCC663.10",381.601245624157,0.357349277626171,0.110653846755777,3.2294338434964,0.00124035574958931,0.00455977762901287
"SPNCRNA.1214",285.932181786787,0.260614959194712,0.124472860642428,2.09374925465381,0.0362823227580042,0.0824631206455239
"SPCC663.12",178.294139599269,0.0748623273091171,0.152647536302556,0.49042604369805,0.623832451248823,0.738575189115169
"SPCC663.13c",70.1306782876594,-0.109738495796234,0.250459856587927,-0.438148042130294,0.661278970287021,0.766809383798156
"SPCC663.14c",55.6639877163649,-0.274663450779018,0.262269644263802,-1.04725597028206,0.294981537253746,0.433949769013004
"SPCC663.15c",612.739912642786,0.09377664006163,0.108267399980698,0.866157680690115,0.38640369724665,0.526549316220071
"SPCC1902.02",234.404293486829,-0.317182723630545,0.142667120295047,-2.22323632084663,0.0261998688934562,0.0633457496314852
"SPCC1902.01",560.804276777405,-0.156178081257162,0.109123416509941,-1.43120593408963,0.15237120336114,0.261805268328648
"SPNCRNA.1215",97.7262628136819,0.367875242306356,0.211112217697046,1.74255780323558,0.0814108862619904,0.160354063789134
